"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-124.02","54.03","VANDERHOOF","1098D90","2000-01-01","2000","01","01","","-4.0","E","-12.5","E","-8.3","E","26.3","E","0.0","E","0.0","","3.5","","3.5","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2000-01-02","2000","01","02","","-9.0","","-21.0","","-15.0","","33.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2000-01-03","2000","01","03","","0.0","","-22.0","","-11.0","","29.0","","0.0","","0.0","","11.4","","11.4","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2000-01-04","2000","01","04","","0.0","","-5.0","","-2.5","","20.5","","0.0","","0.0","","1.2","","1.2","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2000-01-05","2000","01","05","","-1.0","","-9.0","","-5.0","","23.0","","0.0","","0.0","","9.0","","9.0","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2000-01-06","2000","01","06","","2.0","","-3.0","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2000-01-07","2000","01","07","","3.5","","-5.0","","-0.8","","18.8","","0.0","","0.8","","0.0","","0.8","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2000-01-08","2000","01","08","","3.0","","-1.0","","1.0","","17.0","","0.0","","0.0","","4.4","","4.4","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2000-01-09","2000","01","09","","-2.5","","-7.0","","-4.8","","22.8","","0.0","","0.0","","0.6","","0.6","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2000-01-10","2000","01","10","","-5.0","","-15.0","","-10.0","","28.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2000-01-11","2000","01","11","","-11.0","","-22.0","","-16.5","","34.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2000-01-12","2000","01","12","","-14.0","","-16.0","","-15.0","","33.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2000-01-13","2000","01","13","","-15.0","","-16.0","","-15.5","","33.5","","0.0","","0.0","","0.5","","0.5","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2000-01-14","2000","01","14","","-16.0","","-18.0","","-17.0","","35.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2000-01-15","2000","01","15","","-15.0","","-25.0","","-20.0","","38.0","","0.0","","0.0","","0.4","","0.4","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2000-01-16","2000","01","16","","-15.0","","-28.0","","-21.5","","39.5","","0.0","","0.0","","3.0","","3.0","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2000-01-17","2000","01","17","","-12.0","","-17.0","","-14.5","","32.5","","0.0","","0.0","","0.5","","0.5","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2000-01-18","2000","01","18","","-17.0","","-26.0","","-21.5","","39.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2000-01-19","2000","01","19","","-15.0","","-28.0","","-21.5","","39.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2000-01-20","2000","01","20","","-18.0","","-27.0","","-22.5","","40.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2000-01-21","2000","01","21","","-16.0","","-28.5","","-22.3","","40.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2000-01-22","2000","01","22","","-16.0","","-29.5","","-22.8","","40.8","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2000-01-23","2000","01","23","","-17.0","","-27.0","","-22.0","","40.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2000-01-24","2000","01","24","","-12.0","","-23.0","","-17.5","","35.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2000-01-25","2000","01","25","","-10.0","","-13.0","","-11.5","","29.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2000-01-26","2000","01","26","","-10.0","","-12.0","","-11.0","","29.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2000-01-27","2000","01","27","","-3.0","","-21.0","","-12.0","","30.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
