"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-01","2013","01","01","†","-9.0","","-20.5","","-14.8","","32.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-02","2013","01","02","†","-9.5","","-17.0","","-13.3","","31.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-03","2013","01","03","†","-9.5","","-15.5","","-12.5","","30.5","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-04","2013","01","04","†","-4.5","","-17.0","","-10.8","","28.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-05","2013","01","05","†","-1.0","","-16.5","","-8.8","","26.8","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-06","2013","01","06","†","-2.5","","-10.5","","-6.5","","24.5","","0.0","","0.0","","3.4","","3.4","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-07","2013","01","07","†","1.0","","-15.0","","-7.0","","25.0","","0.0","","0.0","","3.0","","3.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-08","2013","01","08","†","-5.0","","-11.0","","-8.0","","26.0","","0.0","","0.0","","21.2","","21.2","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-09","2013","01","09","†","-3.0","","-7.0","","-5.0","","23.0","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-10","2013","01","10","†","-10.5","","-23.5","","-17.0","","35.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-11","2013","01","11","†","-17.0","","-21.5","","-19.3","","37.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-12","2013","01","12","†","-19.5","","-28.0","","-23.8","","41.8","","0.0","","0.0","","1.6","","1.6","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-13","2013","01","13","†","-13.0","","-28.0","","-20.5","","38.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-14","2013","01","14","†","-3.0","","-16.0","","-9.5","","27.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-15","2013","01","15","†","6.5","","-10.0","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-16","2013","01","16","†","5.0","","-4.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-17","2013","01","17","†","9.0","","1.0","","5.0","","13.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-18","2013","01","18","†","8.5","","-1.0","","3.8","","14.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-19","2013","01","19","†","0.1","","-4.5","","-2.2","","20.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-20","2013","01","20","†","-3.0","","-5.5","","-4.3","","22.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-21","2013","01","21","†","-4.0","","-12.0","","-8.0","","26.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-22","2013","01","22","†","-5.0","","-15.0","","-10.0","","28.0","","0.0","","0.0","","2.2","","2.2","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-23","2013","01","23","†","-1.5","","-7.0","","-4.3","","22.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-24","2013","01","24","†","-3.5","","-11.0","","-7.3","","25.3","","0.0","","0.0","","1.4","","1.4","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-25","2013","01","25","†","-2.5","","-11.0","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-26","2013","01","26","†","-4.5","","-12.0","","-8.3","","26.3","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-27","2013","01","27","†","0.1","","-10.5","","-5.2","","23.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-28","2013","01","28","†","-2.0","","-14.5","","-8.3","","26.3","","0.0","","0.0","","6.1","","6.1","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-29","2013","01","29","†","-13.0","","-18.0","","-15.5","","33.5","","0.0","","0.0","","3.0","","3.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-30","2013","01","30","†","-3.0","","-15.0","","-9.0","","27.0","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-01-31","2013","01","31","†","2.0","","-9.0","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-02-01","2013","02","01","†","3.5","","-10.0","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-02-02","2013","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-02-03","2013","02","03","†","3.0","","-9.5","","-3.3","","21.3","","0.0","","2.2","","0.0","","2.2","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-02-04","2013","02","04","†","6.0","","-7.0","","-0.5","","18.5","","0.0","","0.0","","2.0","","2.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-02-05","2013","02","05","†","6.5","","-2.5","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-02-06","2013","02","06","†","1.5","","-5.0","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-02-07","2013","02","07","†","4.5","","-8.0","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-02-08","2013","02","08","†","1.0","","-13.0","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-02-09","2013","02","09","†","7.5","","-6.0","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-02-10","2013","02","10","†","3.5","","-13.0","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-02-11","2013","02","11","†","5.2","","-10.0","","-2.4","","20.4","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2013-02-12","2013","02","12","†","9.0","","-2.0","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
