"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"CHETWYND A","BC"," 55°41'14.000"" N","121°37'36.000"" W","609.6 m","1181508","","YCQ"

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
">= 25 cm","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.04","0.0","0.08","C"
"Days with Precipitation"
">= 0.2 mm","9.6","8.3","9.9","8.3","11.2","13.2","13.9","12.5","12.4","10.5","11.6","9.0","130.3","C"
">= 5 mm","1.3","0.96","1.4","0.92","2.4","4.7","4.5","3.1","2.5","1.8","1.7","0.83","26.1","C"
">= 10 mm","0.12","0.12","0.29","0.29","1.1","2.2","2.3","1.8","1.3","0.50","0.46","0.17","10.6","C"
">= 25 mm","0.0","0.0","0.0","0.0","0.0","0.57","0.55","0.17","0.09","0.04","0.0","0.0","1.4","C"
"Days with Snow Depth"
">= 1 cm","28.0","24.3","21.3","4.5","0.79","0.0","0.0","0.0","0.35","5.5","21.0","25.7","131.4","D"
">= 5 cm","22.6","20.5","16.7","2.5","0.21","0.0","0.0","0.0","0.17","2.9","14.8","19.0","99.3","D"
">= 10 cm","18.6","15.6","12.2","1.4","0.04","0.0","0.0","0.0","0.0","1.0","9.4","14.8","73.0","D"
">= 20 cm","10.9","11.6","8.7","0.04","0.04","0.0","0.0","0.0","0.0","0.14","4.1","8.6","44.2","D"
"Wind"
"Speed (km/h)","8.2","8.2","8.3","8.9","9.1","8.0","7.9","7.1","7.8","8.6","7.6","8.2","8.2","C"
"Most Frequent Direction","SW","SW","SW","W","W","SW","W","W","W","W","W","SW","W","C"
"Maximum Hourly Speed (km/h)","59.0","59.0","52.0","56.0","57.0","52.0","56.0","46.0","78.0","74.0","61.0","56.0","78.0",""
"Date (yyyy/dd)","1991/18","1990/22","1985/12","1987/16","1992/04","1985/15","1984/01","1986/13","1991/23","1993/27","1993/14","1990/06","1991/23"," "
"Direction of Maximum Hourly Speed","SW","SW","SW","SW","W","SW","S","SW","W","W","SW","SW","W",""
"Maximum Gust Speed (km/h)","","","","","","","52.0","","","56.0","44.0","87.0","",""
"Date (yyyy/dd)","","","","","","","1997/07","","","1997/31","1997/01","1997/13",""," "
"Direction of Maximum Gust","CALM","CALM","CALM","CALM","CALM","CALM","W","CALM","CALM","W","W","W","CALM",""
"Days with Winds >= 52 km/h","","","","","","","0.0","","","","","0.0","",""
"Days with Winds >= 63 km/h","","","","","","","0.0","","","","","0.0","",""
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","C"
"Above 18 °C","0.0","0.0","0.0","0.0","0.3","1.4","6.7","6.0","0.1","0.0","0.0","0.0","14.5","C"
"Above 15 °C","0.0","0.0","0.0","0.0","4.4","14.6","38.7","32.4","4.2","0.3","0.0","0.0","94.7","C"
"Above 10 °C","0.2","0.0","0.0","2.8","42.7","106.6","166.8","142.8","45.7","9.2","0.1","0.0","516.8","C"
"Above 5 °C","1.1","1.5","5.1","38.6","148.2","251.9","321.1","294.1","153.3","49.5","2.9","1.3","1268.5","C"
"Above 0 °C","12.7","18.2","49.1","149.9","296.0","401.8","476.1","448.9","296.8","150.3","23.5","14.4","2337.7","C"
"Below 0 °C","327.8","220.5","138.7","13.1","1.5","0.0","0.0","0.0","0.1","24.6","189.5","296.7","1212.5","C"
"Below 5 °C","471.2","345.0","249.6","51.8","8.6","0.1","0.0","0.1","6.6","78.8","319.0","438.6","1969.4","C"
"Below 10 °C","625.3","484.7","399.6","166.0","58.1","4.8","0.7","3.9","49.0","193.5","466.2","592.3","3043.9","C"
"Below 15 °C","780.1","625.9","554.5","313.2","174.9","62.8","27.7","48.4","157.5","339.6","616.1","747.3","4448.0","C"
"Below 18 °C","873.1","710.6","647.5","403.2","263.7","139.6","88.7","115.1","243.4","432.3","706.1","840.3","5463.6","C"
"Bright Sunshine"
"Total Hours","73.5","109.2","160.0","212.0","246.2","247.6","282.0","257.5","171.8","120.8","69.4","53.1","2002.8","D"
"Days with measurable","22.4","23.1","27.6","27.6","28.6","27.5","29.7","29.0","26.8","24.9","20.2","19.3","306.5","D"
"% of possible daylight hours","30.7","40.3","43.7","50.0","48.9","47.4","53.8","55.2","44.8","37.2","27.7","23.9","42.0","D"
"Extreme Daily","7.2","9.6","11.5","14.2","15.7","16.6","16.0","15.2","13.3","10.2","8.1","6.4","",""
"Date (yyyy/dd)","2000/30","1988/27","1987/31","1990/29","1984/25","1983/28","1984/01","1986/01","1988/04","1994/04","1987/01","1986/10",""," "
"Humidex"
"Extreme Humidex","15.0","13.5","22.2","25.5","34.3","32.3","36.3","35.4","33.3","26.6","14.6","12.4","",""
"Date (yyyy/dd)","2003/06","1992/26","2004/29","1984/15","1983/29","2007/04","2007/13","1997/05","1988/04","2003/04","2005/22","1997/13",""," "
"Wind Chill"
"Extreme Wind Chill (°C)","-58.0","-48.8","-43.1","-31.4","-14.9","0.0","0.0","-6.8","-10.0","-34.4","-50.0","-53.8","",""
"Date (yyyy/dd)","1997/25","1986/19","2009/10","2002/02","2002/05","1983/01","1983/01","1992/22","1992/15","1984/31","1985/26","1995/07",""," "
"Humidity"
"Average Relative Humidity - 0600LST (%)","","","","77.8","79.0","83.6","87.0","89.0","86.0","78.4","","","",""
"Average Relative Humidity - 1500LST (%)","69.6","63.7","55.0","41.1","40.0","45.2","48.1","49.0","50.4","54.8","69.8","71.6","54.9","A"

"1981 to 2010 Canadian Climate Normals station data (Frost-Free)"
"","Frost-Free:","Code"
"Average Date of Last Spring Frost","May       30","C"
"Average Date of First Fall Frost","September 03","C"
"Average Length of Frost-Free Period","95 Days","C"
"Probability of last temperature in spring of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Jun 17","Jun 06","Jun 03","May 31","May 25","May 23","May 14"
"Probability of first temperature in fall of 0 °C or lower on or before indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Aug 20","Aug 26","Aug 30","Sep 06","Sep 12","Sep 13","Sep 18"
"Probability of frost-free period equal to or less than indicated period (Days)","10%","25%","33%","50%","66%","75%","90%"
"Days","68","88","94","98","101","106","116"
