"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.77","53.88","PRINCE GEORGE STP","1096468","2017-01-01","2017","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2017-01-02","2017","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2017-01-03","2017","01","03","†","-13.0","","-23.5","","-18.3","","36.3","","0.0","","0.0","","1.0","","1.0","","15","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2017-01-04","2017","01","04","†","-9.0","","-18.5","","-13.8","","31.8","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2017-01-05","2017","01","05","†","-8.0","","-11.0","","-9.5","","27.5","","0.0","","0.0","","6.6","","6.6","","14","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2017-01-06","2017","01","06","†","-5.0","","-11.0","","-8.0","","26.0","","0.0","","0.0","","5.8","","5.8","","20","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2017-01-07","2017","01","07","†","-10.0","","-11.5","","-10.8","","28.8","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2017-01-08","2017","01","08","†","-11.0","","-24.5","","-17.8","","35.8","","0.0","","0.0","","1.0","","1.0","","25","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2017-01-09","2017","01","09","†","-10.0","","-16.0","","-13.0","","31.0","","0.0","","0.0","","0.0","T","0.0","T","26","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2017-01-10","2017","01","10","†","-18.0","","-30.0","","-24.0","","42.0","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
