"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.77","53.88","PRINCE GEORGE STP","1096468","2013-01-01","2013","01","01","†","-7.0","","-14.0","","-10.5","","28.5","","0.0","","0.0","","0.0","","0.0","","35","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2013-01-02","2013","01","02","†","0.0","","-15.0","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","35","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2013-01-03","2013","01","03","†","-0.5","","-7.5","","-4.0","","22.0","","0.0","","0.0","","1.0","","1.0","","34","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2013-01-04","2013","01","04","†","-5.0","","-12.0","","-8.5","","26.5","","0.0","","0.0","","0.8","","0.8","","35","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2013-01-05","2013","01","05","†","0.5","","-11.5","","-5.5","","23.5","","0.0","","0.0","","1.4","","1.4","","35","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2013-01-06","2013","01","06","†","1.5","","-5.0","","-1.8","","19.8","","0.0","","0.0","","2.0","","2.0","","36","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2013-01-07","2013","01","07","†","2.0","","-10.0","","-4.0","","22.0","","0.0","","0.0","","4.4","","4.4","","38","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2013-01-08","2013","01","08","†","-1.5","","-10.5","","-6.0","","24.0","","0.0","","0.0","","9.0","","9.0","","39","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2013-01-09","2013","01","09","†","-2.0","","-4.5","","-3.3","","21.3","","0.0","","0.0","","3.5","","3.5","","49","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2013-01-10","2013","01","10","†","-8.5","","-21.0","","-14.8","","32.8","","0.0","","0.0","","0.0","","0.0","","52","","","","",""
