"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-124.02","54.03","VANDERHOOF","1098D90","2020-01-01","2020","01","01","†","3.5","","0.0","","1.8","","16.2","","0.0","","0.0","","0.0","","0.0","","19","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2020-01-02","2020","01","02","†","-4.0","","-9.0","","-6.5","","24.5","","0.0","","0.0","","10.0","","10.0","","18","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2020-01-03","2020","01","03","†","2.0","","-8.0","","-3.0","","21.0","","0.0","","3.0","","1.0","","4.0","","28","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2020-01-04","2020","01","04","†","-2.0","","-2.0","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2020-01-05","2020","01","05","†","-2.0","","-9.0","","-5.5","","23.5","","0.0","","0.0","","2.0","","2.0","","25","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2020-01-06","2020","01","06","†","-6.5","","-12.0","","-9.3","","27.3","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2020-01-07","2020","01","07","†","-7.5","","-17.0","","-12.3","","30.3","","0.0","","0.0","","6.4","","6.4","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2020-01-08","2020","01","08","†","-5.0","","-10.0","","-7.5","","25.5","","0.0","","0.0","","3.0","","3.0","","30","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2020-01-09","2020","01","09","†","-5.0","","-17.5","","-11.3","","29.3","","0.0","","0.0","","8.2","","8.2","","33","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2020-01-10","2020","01","10","†","-3.0","","-10.0","","-6.5","","24.5","","0.0","","0.0","","15.0","","15.0","","41","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2020-01-11","2020","01","11","†","-13.0","","-15.0","","-14.0","","32.0","","0.0","","0.0","","0.8","","0.8","","51","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2020-01-12","2020","01","12","†","-17.5","","-22.0","","-19.8","","37.8","","0.0","","0.0","","0.0","","0.0","","51","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2020-01-13","2020","01","13","†","-22.5","","-37.5","","-30.0","","48.0","","0.0","","0.0","","0.0","","0.0","","51","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2020-01-14","2020","01","14","†","-30.0","","-43.5","","-36.8","","54.8","","0.0","","0.0","","0.0","","0.0","","51","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2020-01-15","2020","01","15","†","-24.0","","-44.0","","-34.0","","52.0","","0.0","","0.0","","4.6","","4.6","","51","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2020-01-16","2020","01","16","†","-21.5","","-24.0","","-22.8","","40.8","","0.0","","0.0","","9.0","","9.0","","53","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2020-01-17","2020","01","17","†","-20.0","","-30.5","","-25.3","","43.3","","0.0","","0.0","","2.0","","2.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2020-01-18","2020","01","18","†","-11.0","","-31.5","","-21.3","","39.3","","0.0","","0.0","","2.0","","2.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2020-01-19","2020","01","19","†","3.0","","-13.0","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2020-01-20","2020","01","20","†","10.5","","-3.0","","3.8","","14.2","","0.0","","1.0","","0.0","","1.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2020-01-21","2020","01","21","†","3.0","","1.5","","2.3","","15.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2020-01-22","2020","01","22","†","1.5","","-6.0","","-2.3","","20.3","","0.0","","2.6","","0.0","","2.6","","0","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2020-01-23","2020","01","23","†","8.0","","-5.0","","1.5","","16.5","","0.0","","0.4","","0.0","","0.4","","0","","","","",""
